art,standort,jahr,jahrgang,n,s,ca,na,k,mg,p,mn,TC
Buche,site_700,2007,1,20.8730663276118,1.56600974782793,13.0356007628735,0.0276541640178004,,2.62343716889171,0.913329095147277,0.0301229073956347,503.92032210214
Buche,site_700,2007,1,22.6186683657216,1.76595518742699,16.1654454709568,0.0283529786556228,6.35021769140915,4.16162259743018,0.747584156313051,0.012360624402676,507.380269724966
Buche,site_700,2007,1,20.1420544895579,1.45234813951023,13.7421817025337,0.0232163680695431,6.40199300328633,2.81140676348988,0.744195907982614,0.0217534188487226,507.685783949963
Buche,site_700,2007,1,21.5865589111017,1.48234793704806,14.4587409612931,0.02190557209698,5.66567418119949,4.44917056571672,0.82092726499362,0.013717566992769,510.740110591238
Buche,site_700,2008,1,16.5904498564288,1.03764755928959,8.43028820589174,0.0310007444432628,5.7736892481123,2.11953631819632,0.644687865574817,0.0224502818249495,522.173774327342
Buche,site_700,2008,1,17.6869307350138,1.184071171362,10.9722516416014,0.0335204405846219,6.1851302690108,2.52806608769329,0.648591400127092,0.0223151874602838,506.778224952341
Buche,site_700,2008,1,19.4577352472089,1.20999468367889,10.4263689526847,,7.64805954279639,2.15948963317384,0.602020202020202,0.0153429027113238,511.642743221691
Buche,site_700,2008,1,18.759326369644,1.19484118524835,12.4920059688766,0.0227456832231933,3.90428480068216,3.44382860797271,0.677360903858452,0.0125985930505223,508.953314858239
Buche,site_700,2011,1,16.5657852819369,1.1670383349262,12.4657534246575,0.048348731018371,5.66634809387278,3.43209089943719,0.532016565785282,0.0258043963045556,478.921100138048
Buche,site_700,2011,1,15.8153451592221,1.06539858944219,19.7029279760633,0.0412481299422954,4.41547339175037,,0.675357982474888,0.00801453301987604,505.449882453516
Buche,site_700,2011,1,19.9084424571489,1.29458107101033,12.4582135632918,0.0427765357180879,5.97146811455339,2.3730437559885,0.659001384009369,0.0213989140849569,509.954221228574
Buche,site_700,2011,1,20.6426899340285,1.28537986805703,14.1040646946159,0.0327516492870824,4.36475845924665,3.75186209831879,0.643753990210683,0.0139391359863801,503.298574164716
Buche,site_700,2014,1,17.0323928944619,1.26541274817137,9.53291536050157,0.0215987460815047,4.60501567398119,2.31034482758621,0.787251828631139,0.0400626959247649,493.312434691745
Buche,site_700,2014,1,20.1047120418848,1.3979057591623,14.6931937172775,0.0201256544502618,6.23560209424084,2.63874345549738,0.872565445026178,0.0427748691099476,490.052356020942
Buche,site_700,2014,1,20.2282157676349,1.33402489626556,11.1504149377593,0.0154149377593361,4.7603734439834,3.03008298755187,0.788485477178423,0.0119605809128631,475.311203319502
Buche,site_700,2014,1,18.7042842215256,1.29362591431557,17.3270637408568,0.0153605015673981,4.29989550679206,3.71473354231975,0.886729362591432,0.015496342737722,489.132706374086
Buche,site_700,2015,1,19.8738170347003,1.27024185068349,14.1777076761304,0.0258359621451104,6.11251314405889,3.14511041009464,0.910304942166141,0.0472975814931651,500.420609884332
Buche,site_700,2015,1,18.5381355932203,1.30190677966102,13.6864406779661,0.0224258474576271,4.04025423728813,2.92055084745763,0.70614406779661,0.0254237288135593,512.28813559322
